source_id,relation,target_id
ball:CWC_2011_final_ALL:2:25.4,batsman,player:Gambhir
ball:CWC_2011_final_ALL:2:25.4,bowler,player:Dilshan
ball:CWC_2011_final_ALL:2:25.4,event_type,event:run
ball:CWC_2011_final_ALL:2:25.4,phase,phase:middle
ball:CWC_2011_final_ALL:2:25.5,batsman,player:Dhoni
ball:CWC_2011_final_ALL:2:25.5,bowler,player:Dilshan
ball:CWC_2011_final_ALL:2:25.5,event_type,event:run
ball:CWC_2011_final_ALL:2:25.5,phase,phase:middle
ball:CWC_2011_final_ALL:2:25.6,batsman,player:Gambhir
ball:CWC_2011_final_ALL:2:25.6,bowler,player:Dilshan
ball:CWC_2011_final_ALL:2:25.6,event_type,event:run
ball:CWC_2011_final_ALL:2:25.6,phase,phase:middle
ball:CWC_2011_final_ALL:2:26.1,batsman,player:Gambhir
ball:CWC_2011_final_ALL:2:26.1,bowler,player:Malinga
ball:CWC_2011_final_ALL:2:26.1,event_type,event:dot
ball:CWC_2011_final_ALL:2:26.1,phase,phase:middle
ball:CWC_2011_final_ALL:2:26.2,batsman,player:Gambhir
ball:CWC_2011_final_ALL:2:26.2,bowler,player:Malinga
ball:CWC_2011_final_ALL:2:26.2,event_type,event:run
ball:CWC_2011_final_ALL:2:26.2,phase,phase:middle
ball:CWC_2011_final_ALL:2:26.3,batsman,player:Dhoni
ball:CWC_2011_final_ALL:2:26.3,bowler,player:Malinga
